[c]!@[c]	Carbon-Carbon_01
[O$(OC1OCCCC1)]!@[C$(C1COCCC1)]	Glycosidic_05
[O$(OC1OCCCC1)]!@[C$(C1CCOCC1)]	Glycosidic_06
[O$(OC1OCCCC1)]!@[C$(CC1OCCCC1)]	Glycosidic_07
[O$(OC1OCCCC1)]!@[C$(C!@C@C)]	Glycosidic_08
[O$(OC1OCCCC1)]!@[C$(C(@C)@C)]	Glycosidic_09
[O$(OC1OCCCC1)]!@[C$(C@c)]	Glycosidic_10
[O$([OH0]C1OCCC1)]!@[C$(C1OCCC1)]	Glycosidic_11

[C$(C1CC1)]!@[C$(C!@*!@*)]	Carbon-Carbon_23
[C$(C@C)]=,-!@[C$(COCCO)] 	Carbon-Carbon_24
[C$(Cn)]!@[C$(Cc)]	Carbon-Carbon_25
[C$(C@C)]!@[C$(C(=O)c)]	Carbon-Carbon_26
[C$(CC(@C)@C)]!@[!CH3;C$(CN@C)]	Carbon-Carbon_27
[c]!@[C$(C@N)]  aro_c-C@N	Carbon-Carbon_28
[C$(C=S)]!@[NH1,NH0,!NH2]	Carbon-Nitrogen_08
 [C$(CCC)]!@[N$(Nc)]	Carbon-Nitrogen_09
[C$(Cc)]=,-!@[N$(N[c,C$(CC)])]	Carbon-Nitrogen_10
[C$(C@C),c]!@[N$(N([CH3])[CH3])]	Carbon-Nitrogen_11
[C$(C@C)]!@[N$(Nc)]	Carbon-Nitrogen_12
[C$(Cc)]!@[n]	Carbon-Nitrogen_13
[C$(C=N)]!@[N$(Nc)]     C=N-N_aro_c	Carbon-Nitrogen_14
[C$(C-,=CC)]!@[N$(Nc)]	Carbon-Nitrogen_15
[c$(cn)]!@[N$(Nc)]	Carbon-Nitrogen_16
[C$(C=,-C=,-C=,-C)]!@[O$(Oc)]	Carbon-Oxygen_06
[c]!@[P$(PC)]	Carbon-Phosphorus_02
[c]!@[P$(P(=O)(c)c)]	Carbon-Phosphorus_03
[N$(N-,=C)]!@[N$(Nc)]	Nitrogen-Nitrogen_01
[n]!@[N$(N=,-C)]	Nitrogen-Nitrogen_02
[N$(NNC)]!@[P$(P(=O)O)]	Nitrogen-Phosphorus_01
[O$(Oc)]!@[P$(P(=O)[c,n,N])]	Oxygen-Phosphorus_01
